Time,Name,Z0,Z1,Reference
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.01800000000000001,,-0.0002105819964982026,-0.0001974884937653218,0.0002107851590926074
0.01800000000000001,,-0.0002105819964982026,-0.0001974884937653218,0.0002107851590926074
0.01800000000000001,,-0.0002105819964982026,-0.0001974884937653218,0.0002107851590926074
0.01900000000000001,,-0.00023452691300819935,-0.0002183053353446047,0.00023477754582130393
0.01900000000000001,,-0.00023452691300819935,-0.0002183053353446047,0.00023477754582130393
0.01900000000000001,,-0.00023452691300819935,-0.0002183053353446047,0.00023477754582130393
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
0.02000000000000001,,-0.0002597479469416126,-0.00024012689187606975,0.0002600540585471554
